case_id,customer_id,investigative_hypothesis,scenario_evidence,required_checks,reporting_decision,customer_action
CASE000001,C000550,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,CIRCULAR_TRANSFER: A short internal transfer cycle connected three synthetic customers.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000012,C001409,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,CIRCULAR_TRANSFER: A short internal transfer cycle connected three synthetic customers.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000013,C000873,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,CIRCULAR_TRANSFER: A short internal transfer cycle connected three synthetic customers.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000014,C001152,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,CIRCULAR_TRANSFER: A short internal transfer cycle connected three synthetic customers.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000015,C000052,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,CIRCULAR_TRANSFER: A short internal transfer cycle connected three synthetic customers.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000016,C001284,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,CIRCULAR_TRANSFER: A short internal transfer cycle connected three synthetic customers. | DORMANT_REACTIVATION: A dormant-designated account recorded material new activity.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000017,C000942,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,RAPID_MOVEMENT: Material incoming funds were followed by rapid outbound movement.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000018,C001105,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,CIRCULAR_TRANSFER: A short internal transfer cycle connected three synthetic customers.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000019,C001741,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,CIRCULAR_TRANSFER: A short internal transfer cycle connected three synthetic customers.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000020,C000646,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,CIRCULAR_TRANSFER: A short internal transfer cycle connected three synthetic customers.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000021,C001016,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,CIRCULAR_TRANSFER: A short internal transfer cycle connected three synthetic customers.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000022,C000054,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,CIRCULAR_TRANSFER: A short internal transfer cycle connected three synthetic customers.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000023,C001218,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,CIRCULAR_TRANSFER: A short internal transfer cycle connected three synthetic customers.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000024,C000448,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,CIRCULAR_TRANSFER: A short internal transfer cycle connected three synthetic customers.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000025,C000894,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,CIRCULAR_TRANSFER: A short internal transfer cycle connected three synthetic customers.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000026,C000389,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,CIRCULAR_TRANSFER: A short internal transfer cycle connected three synthetic customers. | DORMANT_REACTIVATION: A dormant-designated account recorded material new activity.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000027,C000734,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,FUNNEL_MULE: Multiple incoming counterparties were followed by concentrated outbound movement.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000028,C001706,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,CIRCULAR_TRANSFER: A short internal transfer cycle connected three synthetic customers.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000029,C001344,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,CIRCULAR_TRANSFER: A short internal transfer cycle connected three synthetic customers.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000030,C000536,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,CIRCULAR_TRANSFER: A short internal transfer cycle connected three synthetic customers.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000031,C000965,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,CIRCULAR_TRANSFER: A short internal transfer cycle connected three synthetic customers.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000032,C000084,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,CIRCULAR_TRANSFER: A short internal transfer cycle connected three synthetic customers.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000033,C001542,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,RAPID_MOVEMENT: Material incoming funds were followed by rapid outbound movement.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000034,C000847,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,STRUCTURING: Repeated cash inflows clustered below an internal monitoring parameter.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000035,C000724,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,HIGH_RISK_GEOGRAPHY: Material activity involved a fictitious high-risk test jurisdiction.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000036,C000549,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,RAPID_MOVEMENT: Material incoming funds were followed by rapid outbound movement.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000037,C000005,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,FUNNEL_MULE: Multiple incoming counterparties were followed by concentrated outbound movement.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000038,C001744,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,RAPID_MOVEMENT: Material incoming funds were followed by rapid outbound movement.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000039,C001729,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,FUNNEL_MULE: Multiple incoming counterparties were followed by concentrated outbound movement.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000040,C000447,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,FUNNEL_MULE: Multiple incoming counterparties were followed by concentrated outbound movement.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000041,C001595,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,FUNNEL_MULE: Multiple incoming counterparties were followed by concentrated outbound movement. | DORMANT_REACTIVATION: A dormant-designated account recorded material new activity.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000042,C000524,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,FUNNEL_MULE: Multiple incoming counterparties were followed by concentrated outbound movement.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000043,C001356,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,FUNNEL_MULE: Multiple incoming counterparties were followed by concentrated outbound movement.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000044,C001502,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,FUNNEL_MULE: Multiple incoming counterparties were followed by concentrated outbound movement.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000045,C000446,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,RAPID_MOVEMENT: Material incoming funds were followed by rapid outbound movement.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000046,C000631,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,RAPID_MOVEMENT: Material incoming funds were followed by rapid outbound movement.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000047,C001328,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,FUNNEL_MULE: Multiple incoming counterparties were followed by concentrated outbound movement.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000048,C000390,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,RAPID_MOVEMENT: Material incoming funds were followed by rapid outbound movement.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000049,C000359,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,RAPID_MOVEMENT: Material incoming funds were followed by rapid outbound movement.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000050,C001008,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,FUNNEL_MULE: Multiple incoming counterparties were followed by concentrated outbound movement.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000051,C001027,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,RAPID_MOVEMENT: Material incoming funds were followed by rapid outbound movement.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000052,C001725,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,RAPID_MOVEMENT: Material incoming funds were followed by rapid outbound movement.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000053,C001597,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,HIGH_RISK_GEOGRAPHY: Material activity involved a fictitious high-risk test jurisdiction.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000054,C000799,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,RAPID_MOVEMENT: Material incoming funds were followed by rapid outbound movement.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000055,C001564,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,FUNNEL_MULE: Multiple incoming counterparties were followed by concentrated outbound movement.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000056,C001376,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,HIGH_RISK_GEOGRAPHY: Material activity involved a fictitious high-risk test jurisdiction.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000057,C001106,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,FUNNEL_MULE: Multiple incoming counterparties were followed by concentrated outbound movement.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000058,C000474,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,RAPID_MOVEMENT: Material incoming funds were followed by rapid outbound movement.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000059,C001558,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,RAPID_MOVEMENT: Material incoming funds were followed by rapid outbound movement.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000060,C000117,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,HIGH_RISK_GEOGRAPHY: Material activity involved a fictitious high-risk test jurisdiction.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000061,C001325,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,RAPID_MOVEMENT: Material incoming funds were followed by rapid outbound movement.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000062,C000205,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,RAPID_MOVEMENT: Material incoming funds were followed by rapid outbound movement.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000063,C001138,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,FUNNEL_MULE: Multiple incoming counterparties were followed by concentrated outbound movement.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000064,C001506,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,FUNNEL_MULE: Multiple incoming counterparties were followed by concentrated outbound movement.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000065,C000736,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,HIGH_RISK_GEOGRAPHY: Material activity involved a fictitious high-risk test jurisdiction.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000066,C001769,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,RAPID_MOVEMENT: Material incoming funds were followed by rapid outbound movement.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000067,C001043,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,HIGH_RISK_GEOGRAPHY: Material activity involved a fictitious high-risk test jurisdiction.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000068,C001743,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,HIGH_RISK_GEOGRAPHY: Material activity involved a fictitious high-risk test jurisdiction.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000069,C000496,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,HIGH_RISK_GEOGRAPHY: Material activity involved a fictitious high-risk test jurisdiction.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000070,C000344,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,RAPID_MOVEMENT: Material incoming funds were followed by rapid outbound movement.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000071,C001391,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,RAPID_MOVEMENT: Material incoming funds were followed by rapid outbound movement.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000072,C001761,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,STRUCTURING: Repeated cash inflows clustered below an internal monitoring parameter.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000073,C000162,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,HIGH_RISK_GEOGRAPHY: Material activity involved a fictitious high-risk test jurisdiction. | DORMANT_REACTIVATION: A dormant-designated account recorded material new activity.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000074,C001133,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,DORMANT_REACTIVATION: A dormant-designated account recorded material new activity.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000075,C001219,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,DORMANT_REACTIVATION: A dormant-designated account recorded material new activity.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000076,C000749,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,HIGH_RISK_GEOGRAPHY: Material activity involved a fictitious high-risk test jurisdiction.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000077,C001426,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,STRUCTURING: Repeated cash inflows clustered below an internal monitoring parameter.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000078,C001477,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,STRUCTURING: Repeated cash inflows clustered below an internal monitoring parameter.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000079,C000586,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,HIGH_RISK_GEOGRAPHY: Material activity involved a fictitious high-risk test jurisdiction.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000080,C001540,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,FUNNEL_MULE: Multiple incoming counterparties were followed by concentrated outbound movement.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
